Fecha,Dia_De_La_Semana,Pan_Canilla_Cantidad,Pan_Frances_Cantidad,Pan_Colombiano_Cantidad,Pan_Sobao_Cantidad,Pan_Dulce_Cantidad,Pan_De_Coco_Cantidad,Pan_De_Arequipe_Cantidad,Clima
2025-06-13,Viernes,118,129,117,130,38,40,37,soleado
2025-06-14,Sábado,80,81,87,88,27,24,25,soleado_nublado_lluvioso
2025-06-15,Domingo,112,130,109,123,43,35,41,soleado
2025-06-16,Lunes,101,104,103,116,29,35,41,nublado
2025-06-17,Martes,115,104,112,85,32,16,29,soleado_nublado
2025-06-18,Miércoles,96,109,102,106,14,34,22,soleado
2025-06-19,Jueves,125,123,73,124,31,34,18,lluvioso
2025-06-20,Viernes,133,142,127,119,30,42,39,nublado_lluvioso
2025-06-21,Sábado,117,110,95,129,43,40,33,soleado_nublado
2025-06-22,Domingo,135,124,136,117,32,29,30,nublado_lluvioso
2025-06-23,Lunes,65,73,73,71,32,22,23,soleado_lluvioso
2025-06-24,Martes,110,68,114,94,24,21,21,soleado_nublado
2025-06-25,Miércoles,74,92,86,103,26,26,38,nublado_lluvioso
2025-06-26,Jueves,82,75,69,82,34,31,16,soleado_lluvioso
2025-06-27,Viernes,115,134,116,143,45,47,38,nublado
2025-06-28,Sábado,84,69,76,71,28,26,25,soleado_nublado_lluvioso
2025-06-29,Domingo,127,151,123,120,41,34,35,lluvioso
2025-06-30,Lunes,110,111,103,117,39,39,34,nublado
2025-07-01,Martes,107,114,102,118,33,30,22,lluvioso
2025-07-02,Miércoles,124,79,108,124,35,28,15,lluvioso
2025-07-03,Jueves,72,117,99,74,18,29,18,soleado_nublado
2025-07-04,Viernes,133,130,123,142,38,36,44,nublado_lluvioso
2025-07-05,Sábado,79,88,86,83,23,28,27,soleado_nublado_lluvioso
2025-07-06,Domingo,142,139,127,125,48,37,42,nublado
2025-07-07,Lunes,71,113,87,117,30,36,29,lluvioso
2025-07-08,Martes,94,76,82,109,30,34,16,soleado
2025-07-09,Miércoles,97,94,111,113,11,31,21,soleado_nublado
2025-07-10,Jueves,88,103,109,105,32,25,27,soleado
2025-07-11,Viernes,119,121,114,129,38,40,36,soleado
2025-07-12,Sábado,113,121,95,108,42,42,42,soleado_nublado
2025-07-13,Domingo,140,127,137,132,46,40,37,nublado
2025-07-14,Lunes,71,84,77,100,27,33,34,nublado_lluvioso
2025-07-15,Martes,92,112,126,110,21,19,30,lluvioso
2025-07-16,Miércoles,81,81,72,74,33,32,23,soleado_lluvioso
2025-07-17,Jueves,80,81,102,105,27,34,31,nublado_lluvioso
2025-07-18,Viernes,136,134,124,136,36,36,42,lluvioso
2025-07-19,Sábado,124,103,119,103,37,40,38,soleado_nublado
2025-07-20,Domingo,128,141,139,134,44,40,43,nublado
2025-07-21,Lunes,88,96,104,82,35,32,28,soleado
2025-07-22,Martes,112,114,75,98,16,33,31,lluvioso
2025-07-23,Miércoles,107,113,101,103,24,24,20,soleado_nublado
2025-07-24,Jueves,125,83,78,118,33,35,30,lluvioso
2025-07-25,Viernes,73,83,86,81,28,29,29,soleado_nublado_lluvioso
2025-07-26,Sábado,132,130,123,139,37,45,41,nublado
2025-07-27,Domingo,121,123,107,112,39,37,43,soleado
2025-07-28,Lunes,92,76,108,91,18,29,25,soleado_nublado
2025-07-29,Martes,59,62,44,53,19,15,18,soleado_nublado_lluvioso
2025-07-30,Miércoles,99,75,98,111,21,28,36,soleado
2025-07-31,Jueves,112,123,101,110,33,31,31,nublado
2025-08-01,Viernes,118,129,117,130,38,40,37,soleado
2025-08-02,Sábado,80,81,87,88,27,24,25,soleado_nublado_lluvioso
2025-08-03,Domingo,112,130,109,123,43,35,41,soleado
2025-08-04,Lunes,101,104,103,116,29,35,41,nublado
2025-08-05,Martes,115,104,112,85,32,16,29,soleado_nublado
2025-08-06,Miércoles,96,109,102,106,14,34,22,soleado
2025-08-07,Jueves,125,123,73,124,31,34,18,lluvioso
2025-08-08,Viernes,133,142,127,119,30,42,39,nublado_lluvioso
2025-08-09,Sábado,117,110,95,129,43,40,33,soleado_nublado
2025-08-10,Domingo,135,124,136,117,32,29,30,nublado_lluvioso
2025-08-11,Lunes,65,73,73,71,32,22,23,soleado_lluvioso
2025-08-12,Martes,110,68,114,94,24,21,21,soleado_nublado
2025-08-13,Miércoles,74,92,86,103,26,26,38,nublado_lluvioso
2025-08-14,Jueves,82,75,69,82,34,31,16,soleado_lluvioso
2025-08-15,Viernes,115,134,116,143,45,47,38,nublado
2025-08-16,Sábado,84,69,76,71,28,26,25,soleado_nublado_lluvioso
2025-08-17,Domingo,127,151,123,120,41,34,35,lluvioso
2025-08-18,Lunes,110,111,103,117,39,39,34,nublado
2025-08-19,Martes,107,114,102,118,33,30,22,lluvioso
2025-08-20,Miércoles,124,79,108,124,35,28,15,lluvioso
2025-08-21,Jueves,72,117,99,74,18,29,18,soleado_nublado
2025-08-22,Viernes,133,130,123,142,38,36,44,nublado_lluvioso
2025-08-23,Sábado,79,88,86,83,23,28,27,soleado_nublado_lluvioso
2025-08-24,Domingo,142,139,127,125,48,37,42,nublado
2025-08-25,Lunes,71,113,87,117,30,36,29,lluvioso
2025-08-26,Martes,94,76,82,109,30,34,16,soleado
2025-08-27,Miércoles,97,94,111,113,11,31,21,soleado_nublado
2025-08-28,Jueves,88,103,109,105,32,25,27,soleado
2025-08-29,Viernes,119,121,114,129,38,40,36,soleado
2025-08-30,Sábado,113,121,95,108,42,42,42,soleado_nublado
2025-08-31,Domingo,140,127,137,132,46,40,37,nublado
2025-09-01,Lunes,71,84,77,100,27,33,34,nublado_lluvioso
2025-09-02,Martes,92,112,126,110,21,19,30,lluvioso
2025-09-03,Miércoles,81,81,72,74,33,32,23,soleado_lluvioso
2025-09-04,Jueves,80,81,102,105,27,34,31,nublado_lluvioso
2025-09-05,Viernes,136,134,124,136,36,36,42,lluvioso
2025-09-06,Sábado,124,103,119,103,37,40,38,soleado_nublado
2025-09-07,Domingo,128,141,139,134,44,40,43,nublado
2025-09-08,Lunes,88,96,104,82,35,32,28,soleado
2025-09-09,Martes,112,114,75,98,16,33,31,lluvioso
2025-09-10,Miércoles,107,113,101,103,24,24,20,soleado_nublado
2025-09-11,Jueves,125,83,78,118,33,35,30,lluvioso
2025-09-12,Viernes,73,83,86,81,28,29,29,soleado_nublado_lluvioso
2025-09-13,Sábado,132,130,123,139,37,45,41,nublado
2025-09-14,Domingo,121,123,107,112,39,37,43,soleado
2025-09-15,Lunes,92,76,108,91,18,29,25,soleado_nublado
2025-09-16,Martes,59,62,44,53,19,15,18,soleado_nublado_lluvioso
2025-09-17,Miércoles,99,75,98,111,21,28,36,soleado
2025-09-18,Jueves,112,123,101,110,33,31,31,nublado
2025-09-19,Viernes,118,129,117,130,38,40,37,soleado
2025-09-20,Sábado,80,81,87,88,27,24,25,soleado_nublado_lluvioso
2025-09-21,Domingo,112,130,109,123,43,35,41,soleado
2025-09-22,Lunes,101,104,103,116,29,35,41,nublado
2025-09-23,Martes,115,104,112,85,32,16,29,soleado_nublado
2025-09-24,Miércoles,96,109,102,106,14,34,22,soleado
2025-09-25,Jueves,125,123,73,124,31,34,18,lluvioso
2025-09-26,Viernes,133,142,127,119,30,42,39,nublado_lluvioso
2025-09-27,Sábado,117,110,95,129,43,40,33,soleado_nublado
2025-09-28,Domingo,135,124,136,117,32,29,30,nublado_lluvioso
2025-09-29,Lunes,65,73,73,71,32,22,23,soleado_lluvioso
2025-09-30,Martes,110,68,114,94,24,21,21,soleado_nublado
2025-10-01,Miércoles,74,92,86,103,26,26,38,nublado_lluvioso
2025-10-02,Jueves,82,75,69,82,34,31,16,soleado_lluvioso
2025-10-03,Viernes,115,134,116,143,45,47,38,nublado
2025-10-04,Sábado,84,69,76,71,28,26,25,soleado_nublado_lluvioso
2025-10-05,Domingo,127,151,123,120,41,34,35,lluvioso
2025-10-06,Lunes,110,111,103,117,39,39,34,nublado
2025-10-07,Martes,107,114,102,118,33,30,22,lluvioso
2025-10-08,Miércoles,124,79,108,124,35,28,15,lluvioso
2025-10-09,Jueves,72,117,99,74,18,29,18,soleado_nublado
2025-10-10,Viernes,133,130,123,142,38,36,44,nublado_lluvioso
2025-10-11,Sábado,79,88,86,83,23,28,27,soleado_nublado_lluvioso
2025-10-12,Domingo,142,139,127,125,48,37,42,nublado
2025-10-13,Lunes,71,113,87,117,30,36,29,lluvioso
2025-10-14,Martes,94,76,82,109,30,34,16,soleado
2025-10-15,Miércoles,97,94,111,113,11,31,21,soleado_nublado
2025-10-16,Jueves,88,103,109,105,32,25,27,soleado
2025-10-17,Viernes,119,121,114,129,38,40,36,soleado
2025-10-18,Sábado,113,121,95,108,42,42,42,soleado_nublado
2025-10-19,Domingo,140,127,137,132,46,40,37,nublado
2025-10-20,Lunes,71,84,77,100,27,33,34,nublado_lluvioso
2025-10-21,Martes,92,112,126,110,21,19,30,lluvioso
2025-10-22,Miércoles,81,81,72,74,33,32,23,soleado_lluvioso
2025-10-23,Jueves,80,81,102,105,27,34,31,nublado_lluvioso
2025-10-24,Viernes,136,134,124,136,36,36,42,lluvioso
2025-10-25,Sábado,124,103,119,103,37,40,38,soleado_nublado
2025-10-26,Domingo,128,141,139,134,44,40,43,nublado
2025-10-27,Lunes,88,96,104,82,35,32,28,soleado
2025-10-28,Martes,112,114,75,98,16,33,31,lluvioso
2025-10-29,Miércoles,107,113,101,103,24,24,20,soleado_nublado
2025-10-30,Jueves,125,83,78,118,33,35,30,lluvioso
2025-10-31,Viernes,73,83,86,81,28,29,29,soleado_nublado_lluvioso
2025-11-01,Sábado,132,130,123,139,37,45,41,nublado
2025-11-02,Domingo,121,123,107,112,39,37,43,soleado
2025-11-03,Lunes,92,76,108,91,18,29,25,soleado_nublado
2025-11-04,Martes,59,62,44,53,19,15,18,soleado_nublado_lluvioso
2025-11-05,Miércoles,99,75,98,111,21,28,36,soleado
2025-11-06,Jueves,112,123,101,110,33,31,31,nublado
2025-11-07,Viernes,118,129,117,130,38,40,37,soleado
2025-11-08,Sábado,80,81,87,88,27,24,25,soleado_nublado_lluvioso
2025-11-09,Domingo,112,130,109,123,43,35,41,soleado
2025-11-10,Lunes,101,104,103,116,29,35,41,nublado
2025-11-11,Martes,115,104,112,85,32,16,29,soleado_nublado
2025-11-12,Miércoles,96,109,102,106,14,34,22,soleado
2025-11-13,Jueves,125,123,73,124,31,34,18,lluvioso
2025-11-14,Viernes,133,142,127,119,30,42,39,nublado_lluvioso
2025-11-15,Sábado,117,110,95,129,43,40,33,soleado_nublado
2025-11-16,Domingo,135,124,136,117,32,29,30,nublado_lluvioso
2025-11-17,Lunes,65,73,73,71,32,22,23,soleado_lluvioso
2025-11-18,Martes,110,68,114,94,24,21,21,soleado_nublado
2025-11-19,Miércoles,74,92,86,103,26,26,38,nublado_lluvioso
2025-11-20,Jueves,82,75,69,82,34,31,16,soleado_lluvioso
2025-11-21,Viernes,115,134,116,143,45,47,38,nublado
2025-11-22,Sábado,84,69,76,71,28,26,25,soleado_nublado_lluvioso
2025-11-23,Domingo,127,151,123,120,41,34,35,lluvioso
2025-11-24,Lunes,110,111,103,117,39,39,34,nublado
2025-11-25,Martes,107,114,102,118,33,30,22,lluvioso
2025-11-26,Miércoles,124,79,108,124,35,28,15,lluvioso
2025-11-27,Jueves,72,117,99,74,18,29,18,soleado_nublado
2025-11-28,Viernes,133,130,123,142,38,36,44,nublado_lluvioso
2025-11-29,Sábado,79,88,86,83,23,28,27,soleado_nublado_lluvioso
2025-11-30,Domingo,142,139,127,125,48,37,42,nublado
2025-12-01,Lunes,71,113,87,117,30,36,29,lluvioso
2025-12-02,Martes,94,76,82,109,30,34,16,soleado
2025-12-03,Miércoles,97,94,111,113,11,31,21,soleado_nublado
2025-12-04,Jueves,88,103,109,105,32,25,27,soleado
2025-12-05,Viernes,119,121,114,129,38,40,36,soleado
2025-12-06,Sábado,113,121,95,108,42,42,42,soleado_nublado
2025-12-07,Domingo,140,127,137,132,46,40,37,nublado
2025-12-08,Lunes,71,84,77,100,27,33,34,nublado_lluvioso
2025-12-09,Martes,92,112,126,110,21,19,30,lluvioso
2025-12-10,Miércoles,81,81,72,74,33,32,23,soleado_lluvioso
2025-12-11,Jueves,80,81,102,105,27,34,31,nublado_lluvioso
2025-12-12,Viernes,136,134,124,136,36,36,42,lluvioso
2025-12-13,Sábado,124,103,119,103,37,40,38,soleado_nublado
2025-12-14,Domingo,128,141,139,134,44,40,43,nublado
2025-12-15,Lunes,88,96,104,82,35,32,28,soleado
2025-12-16,Martes,112,114,75,98,16,33,31,lluvioso
2025-12-17,Miércoles,107,113,101,103,24,24,20,soleado_nublado
2025-12-18,Jueves,125,83,78,118,33,35,30,lluvioso
2025-12-19,Viernes,73,83,86,81,28,29,29,soleado_nublado_lluvioso
2025-12-20,Sábado,132,130,123,139,37,45,41,nublado
2025-12-21,Domingo,121,123,107,112,39,37,43,soleado
2025-12-22,Lunes,92,76,108,91,18,29,25,soleado_nublado
2025-12-23,Martes,59,62,44,53,19,15,18,soleado_nublado_lluvioso
2025-12-24,Miércoles,99,75,98,111,21,28,36,soleado
2025-12-25,Jueves,112,123,101,110,33,31,31,nublado
2025-12-26,Viernes,118,129,117,130,38,40,37,soleado
2025-12-27,Sábado,80,81,87,88,27,24,25,soleado_nublado_lluvioso
2025-12-28,Domingo,112,130,109,123,43,35,41,soleado
2025-12-29,Lunes,101,104,103,116,29,35,41,nublado
2025-12-30,Martes,115,104,112,85,32,16,29,soleado_nublado
2025-12-31,Miércoles,96,109,102,106,14,34,22,soleado
